id,SMILES,bp_K,ValidMol,RDKit_InChIKey,MolWt,ExactMolWt,MolLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,RingCount,AromaticRingCount,AliphaticRingCount,HeterocycleCount,FractionCarbonSP3,HeavyAtomCount,HeteroatomCount,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge
1783,O=Cc1sccc1,350.25,True,CNUDBTRUORMMPA-UHFFFAOYSA-N,112.15299999999998,111.998285748,1.5606,17.07,0,2,1,1,1,0,1,0.0,7,2,36,0,0.15949271445703198,-0.29699121327503436
1784,FC(F)(F)c(ccc1)cc1N,460.75,True,VIUDTWATMPPKEL-UHFFFAOYSA-N,161.12599999999998,161.045233852,2.2876,26.02,1,1,0,1,1,0,0,0.14285714285714285,11,4,60,0,0.4159851856970229,-0.39871627655400466
1785,FC(F)(F)c1cc(ccc1)N(=O)=O,476.25,True,WHNAMGUAXHGCHH-UHFFFAOYSA-N,191.108,191.019413028,2.613600000000001,43.14,0,2,1,1,1,0,0,0.14285714285714285,13,6,70,0,0.4161603094138804,-0.2583094562918329
1786,CC(C)(C)c(cc1)ccc1C,466.25,True,QCWXDVFBZVHKLV-UHFFFAOYSA-N,148.24899999999997,148.125200512,3.2925200000000023,0.0,0,0,0,1,1,0,0,0.45454545454545453,11,0,60,0,-0.013185088635292297,-0.05903159393535443
1787,CC(C)(C)c(cc1)ccc1O,512.25,True,QHPQWRBYOIRBIT-UHFFFAOYSA-N,150.22099999999998,150.104465068,2.6897000000000015,20.23,1,1,0,1,1,0,0,0.4,11,1,60,0,0.11509554258901344,-0.5079666394035982
1788,OC(C)(C)C1CC=C(C)CC1,494.25,True,WUOACPNHFRMFPN-UHFFFAOYSA-N,154.25299999999996,154.135765196,2.503700000000001,20.23,1,1,1,1,0,1,0,0.8,11,1,64,0,0.062237883688637315,-0.39017057506874137
1789,FC(F)(F)c(cc1)ccc1Cl,412.55,True,QULYNCCPRWKEMF-UHFFFAOYSA-N,180.55599999999998,179.995362468,3.3588000000000005,0.0,0,0,0,1,1,0,0,0.14285714285714285,11,4,60,0,0.41591123272335817,-0.1661375336137137
1790,NC(C)c1ccccc1,461.75,True,RQEUFEKYXDPUSK-UHFFFAOYSA-N,121.18299999999995,121.08914935199999,1.7063000000000001,26.02,1,1,1,1,1,0,0,0.25,9,1,48,0,0.026557073751662042,-0.32417089052832887
1791,ClC(=O)c1ccccc1,474.25,True,PASDCCFISLVPSO-UHFFFAOYSA-N,140.569,140.00289246,2.0656,17.07,0,1,1,1,1,0,0,0.0,9,2,46,0,0.25188518908408497,-0.27561502221289413
1792,OC(C1CCCCC1)=O,506.25,True,NZNMSOFKMUBTKW-UHFFFAOYSA-N,128.17100000000002,128.083729624,1.6513,37.3,1,1,1,1,0,1,0,0.8571428571428571,9,2,52,0,0.3059871426954671,-0.4810264618631636
1793,O=C(c1cccnc1)N,430.25,True,DFPAKSUCGFBDDF-UHFFFAOYSA-N,122.127,122.048012812,0.1805,55.980000000000004,1,2,1,1,1,0,1,0.0,9,3,46,0,0.2497619496515242,-0.36555064039965735
1794,Cc1cc(ccc1)N(=O)=O,505.25,True,QZYHIOPPLUPUJF-UHFFFAOYSA-N,137.13799999999998,137.047678464,1.90322,43.14,0,2,1,1,1,0,0,0.14285714285714285,10,3,52,0,0.26918728708782313,-0.25830949470105513
1795,Nc1cc(ccc1)N(=O)=O,579.25,True,XJCVRTZCHMZPBD-UHFFFAOYSA-N,138.12599999999998,138.042927432,1.177,69.16,1,3,1,1,1,0,0,0.0,10,4,52,0,0.27098245050641295,-0.3985247880942554
1796,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,588.25,True,UATJOMSPNYCXIX-UHFFFAOYSA-N,213.10499999999996,213.002184816,1.4112,129.42000000000002,0,6,3,1,1,0,0,0.0,15,9,78,0,0.2826808898962567,-0.2583023144045145
1797,OC1CC(CC=C1C)C(C)=C,500.25,True,BAVONGHXFVOKBV-UHFFFAOYSA-N,152.23699999999997,152.120115132,2.2797,20.23,1,1,1,1,0,1,0,0.6,11,1,62,0,0.07527889026318177,-0.38875388921011106
1798,CC(=C)C(CC=C1C)CC1=O,504.25,True,ULDHMXUKGWMISQ-UHFFFAOYSA-N,150.221,150.104465068,2.4879000000000007,17.07,0,1,1,1,0,1,0,0.5,11,1,60,0,0.15836923542949272,-0.2945568590881993
